ID Number,Name,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level
101,ELECTRODE,Mirror Coat,1,Tackle,1,SonicBoom,1,ThunderShock,1,Explosion,5,SonicBoom,8,Shock Wave,12,Take Down,15,Swift,19,Selfdestruct,22,Discharge,26,Flash Cannon,29,Signal Beam,35,Explosion,40,Thunderbolt,46,Selfdestruct,51,Thunder Wave,57,,,,,,,,
102,EXEGGCUTE,Hypnosis,1,Uproar,1,Teleport,1,Bullet Seed,7,Confusion,11,Stun Spore,17,Selfdestruct,19,Seed Bomb,21,Zen Headbutt,23,Egg Bomb,27,Explosion,33,Energy Ball,37,Psychic,43,Sleep Powder,67,,,,,,,,,,,,,,
103,EXEGGUTOR,Seed Bomb,1,Selfdestruct,1,Teleport,1,Wood Hammer,1,Hypnosis,15,Explosion,17,Egg Bomb,57,Leaf Storm,67,Sleep Powder,77,,,,,,,,,,,,,,,,,,,,,,,,
104,CUBONE,Bone Club,1,Headbutt,3,Fling,7,Rock Throw,11,Dig,13,Take Down,17,Submission,21,Rock Slide,23,Bone Rush,27,Double-Edge,33,Fire Punch,37,Stone Edge,41,Earthquake,43,Bonemerang,49,,,,,,,,,,,,,,
105,MAROWAK,False Swipe,1,Double Kick,1,Iron Head,1,Bone Club,1,Headbutt,3,Fling,7,Rock Throw,11,Jump Kick,13,Take Down,17,Submission,21,Rock Slide,23,Bone Rush,27,Double-Edge,37,Fire Punch,43,Stone Edge,49,Earthquake,51,Bonemerang,59,,,,,,,,
106,HITMONLEE,Body Slam,1,Double Kick,1,Triple Kick,5,Foresight,9,Low Kick,13,Brick Break,17,Rolling Kick,21,Double Kick,25,Fling,29,Rock Throw,33,Pursuit,37,Jump Kick,45,Rock Slide,45,Blaze Kick,49,Stone Edge,53,Close Combat,97,,,,,,,,,,
107,HITMONCHAN,Drain Punch,1,Revenge,1,Feint,6,Pursuit,11,Mega Punch,16,Bullet Punch,16,Feint,21,Shadow Punch,26,ThunderPunch,31,Ice Punch,31,Fire Punch,31,Sky Uppercut,36,Mach Punch,41,Pursuit,46,Meteor Mash,51,Close Combat,69,Sucker Punch,74,,,,,,,,
108,LICKITUNG,Lick,1,Supersonic,5,Stomp,9,Acid,13,Wrap,17,Water Pulse,21,Disable,25,Body Slam,29,Double-Edge,33,Me First,37,Slam,41,Gastro Acid,45,Power Whip,49,Wring Out,53,,,,,,,,,,,,,,
109,KOFFING,Smog,1,Toxic,1,Psybeam,6,SmokeScreen,10,Sludge,15,Selfdestruct,19,Assurance,24,Sludge Bomb,28,Gyro Ball,33,Explosion,37,Poison Gas,42,Poison Fang,46,Haze,51,,,,,,,,,,,,,,,,
110,WEEZING,Heat Wave,1,Gyro Ball,1,Smog,1,Headbutt,1,Toxic,6,SmokeScreen,10,Sludge,15,Selfdestruct,19,Assurance,24,Sludge Bomb,28,Double Hit,33,Explosion,40,Poison Gas,48,Poison Fang,55,Shadow Ball,63,,,,,,,,,,,,
111,RHYHORN,Tackle,1,Rock Throw,1,Dig,9,Bite,13,Peck,21,Stomp,25,Rock Slide,33,Drill Run,37,Crunch,49,Megahorn,57,Earthquake,65,Stone Edge,72,,,,,,,,,,,,,,,,,,
112,RHYDON,Aqua Tail,1,Submission,1,Fire Punch,1,Rock Slide,1,Crunch,9,Headbutt,13,Stomp,21,Poison Jab,25,Rock Blast,33,Hammer Arm,37,Drill Run,42,Megahorn,67,Earthquake,75,Stone Edge,87,,,,,,,,,,,,,,
113,CHANSEY,Pound,1,Teleport,1,Take Down,5,Double-Edge,9,Headbutt,12,Metronome,16,Teleport,20,DoubleSlap,23,Fling,27,Submission,31,Double-Edge,34,Teleport,38,Take Down,42,Egg Bomb,46,,,,,,,,,,,,,,
114,TANGELA,Vine Whip,1,Swallow,1,Confusion,5,Absorb,8,Stun Spore,12,Slam,15,Mega Drain,19,Wrap,22,Sludge Bomb,26,Stun Spore,29,Power Whip,33,AncientPower,36,Sleep Powder,40,Endeavor,43,Energy Ball,47,Wring Out,50,Frenzy Plant,74,,,,,,,,
115,KANGASKHAN,Tackle,1,Low Kick,1,Dizzy Punch,7,Hammer Arm,10,Bite,13,Mega Kick,19,Outrage,22,Seismic Toss,25,Body Slam,31,Crunch,34,Double-Edge,37,Roar,43,Submission,46,Trump Card,49,,,,,,,,,,,,,,
116,HORSEA,Bubble,1,SmokeScreen,4,Water Gun,8,Twister,11,Take Down,14,Aurora Beam,18,BubbleBeam,23,DragonBreath,26,Double-Edge,30,Ice Beam,35,Octazooka,38,Dragon Pulse,42,,,,,,,,,,,,,,,,,,
117,SEADRA,Water Pulse,1,Supersonic,1,Swift,1,Dragon Rage,1,SmokeScreen,4,Water Gun,8,Twister,11,Take Down,14,Aurora Beam,18,BubbleBeam,23,DragonBreath,26,Double-Edge,30,Ice Beam,40,Octazooka,48,Dragon Pulse,57,,,,,,,,,,,,
118,GOLDEEN,Tackle,1,Peck,1,Aqua Jet,1,Mud Shot,7,Psybeam,11,Dive,17,Flail,21,Aqua Ring,27,Fury Attack,31,Drill Peck,37,Poison Jab,41,Body Slam,47,Megahorn,51,,,,,,,,,,,,,,,,
119,SEAKING,Tackle,1,Peck,1,Aqua Jet,1,Ice Beam,1,Supersonic,1,Aerial Ace,7,Psybeam,11,Aqua Tail,17,Flail,21,Aqua Ring,27,Fury Attack,31,Knock Off,40,Poison Jab,47,Body Slam,56,Megahorn,63,,,,,,,,,,,,
120,STARYU,Teleport,1,Tackle,1,Water Gun,6,Swift,10,BubbleBeam,15,Teleport,19,Take Down,24,Psybeam,28,Power Gem,33,Signal Beam,37,Teleport,42,Double-Edge,46,Recover,51,Hydro Pump,55,,,,,,,,,,,,,,
121,STARMIE,Double-Edge,1,Recover,1,Power Gem,1,Teleport,2,Hydro Pump,55,Mega Kick,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,MR. MIME,Thunderbolt,1,Power Swap,1,Guard Swap,1,Teleport,1,Seismic Toss,1,Copycat,4,Barrier,8,Confusion,11,Teleport,15,Zen Headbutt,18,Magical Leaf,22,Reflect,22,Light Screen,25,Teleport,29,Psybeam,32,Safeguard,36,Teleport,39,Role Play,43,Signal Beam,46,Psychic,50,,
123,SCYTHER,False Swipe,1,Slash,1,Air Slash,1,Silver Wind,5,Take Down,9,Wing Attack,13,Bug Buzz,17,Brick Break,21,Double-Edge,25,Feint,29,Vacuum Wave,33,Wing Attack,37,Night Slash,41,Steel Wing,45,Pursuit,49,Aerial Ace,53,X-Scissor,57,Close Combat,77,,,,,,
124,JYNX,Pound,1,Sweet Kiss,1,DoubleSlap,1,Ice Punch,1,Zen Headbutt,5,Lick,8,Powder Snow,11,Confusion,15,Teeter Dance,18,Psybeam,21,Aurora Beam,25,Wake-Up Slap,28,Sing,33,Psychic,44,Ice Beam,49,Focus Blast,51,Lovely Kiss,55,,,,,,,,
125,ELECTABUZZ,ThunderShock,1,Mega Punch,1,Wild Charge,1,Karate Chop,7,Swift,10,Shock Wave,16,Low Kick,19,Seismic Toss,25,Fire Punch,28,ThunderPunch,37,Cross Chop,43,Ice Punch,52,Thunderbolt,58,,,,,,,,,,,,,,,,
126,MAGMAR,Fire Spin,1,Brick Break,1,Flare Blitz,1,Mega Punch,7,Fire Punch,10,SmokeScreen,16,Faint Attack,19,Confuse Ray,25,ThunderPunch,28,Fire Punch,36,Psychic,41,Cross Chop,49,Heat Wave,54,Milk Drink,80,,,,,,,,,,,,,,
127,PINSIR,False Swipe,1,Night Slash,1,ViceGrip,4,Fling,8,Seismic Toss,13,Bug Bite,18,Rock Slide,21,Body Slam,25,Brick Break,30,X-Scissor,45,ViceGrip,48,Stone Edge,56,Superpower,67,Megahorn,75,,,,,,,,,,,,,,
128,TAUROS,Tackle,1,Double Kick,3,Iron Tail,5,Stomp,8,Headbutt,11,Rock Throw,15,Iron Head,19,Payback,24,Secret Power,29,Roar,35,Zen Headbutt,48,Earthquake,59,Body Slam,63,,,,,,,,,,,,,,,,
129,MAGIKARP,Tackle,1,Flail,15,Bounce,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,GYARADOS,Double-Edge,1,Bite,20,Roar,23,Water Pulse,36,Twister,49,ViceGrip,52,Crunch,55,Roar,58,Hyper Beam,61,Hydro Pump,64,Aerial Ace,67,Whirlwind,70,Ice Fang,77,Aqua Tail,95,,,,,,,,,,,,,,
131,LAPRAS,Roar,1,Whirlpool,1,Body Slam,1,Take Down,4,Powder Snow,7,Water Pulse,10,Roar,14,Confuse Ray,18,Aurora Beam,22,Aqua Tail,27,Double-Edge,32,Drill Run,37,Ice Beam,43,Hydro Pump,49,Sing,55,,,,,,,,,,,,
132,DITTO,Transform,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,EEVEE,Secret Power,1,Tackle,1,Headbutt,1,Mud-Slap,8,Take Down,15,Double Kick,22,Bite,29,Body Slam,36,Iron Tail,43,Double-Edge,50,Trump Card,57,,,,,,,,,,,,,,,,,,,,
134,VAPOREON,Acid Armor,1,Water Pulse,1,Take Down,1,Roar,8,Ice Fang,15,Water Pulse,21,Bite,29,Body Slam,36,Ice Fang,43,Aqua Tail,50,Roar,57,Camouflage,64,Ice Beam,71,Hydro Pump,73,,,,,,,,,,,,,,
135,JOLTEON,ThunderShock,1,Tackle,1,Swift,1,Take Down,8,Roar,15,Bite,22,Double Kick,29,Pin Missile,36,Swift,43,Wild Charge,50,Double-Edge,57,Roar,64,Thunder Wave,71,Discharge,95,,,,,,,,,,,,,,
136,FLAREON,Heat Wave,1,Quick Attack,1,Helping Hand,1,Roar,8,Ember,15,Quick Attack,22,Bite,29,Fire Fang,36,Iron Tail,43,Last Resort,50,Flare Blitz,57,Superpower,64,Crunch,71,Lava Plume,78,,,,,,,,,,,,,,
137,PORYGON,Conversion 2,1,Teleport,1,Tackle,1,Hidden Power,1,Psybeam,7,Swift,12,Teleport,13,Recover,23,Signal Beam,29,Discharge,34,Tri Attack,40,Teleport,41,Ice Beam,51,Double-Edge,56,Sharpen,100,,,,,,,,,,,,
138,OMANYTE,Water Gun,1,Rock Throw,1,Tackle,7,Bite,10,BubbleBeam,16,Rock Slide,19,Mud Bomb,25,Aurora Beam,28,Water Pulse,34,AncientPower,47,Earth Power,53,Ice Beam,56,Hydro Pump,72,,,,,,,,,,,,,,,,
139,OMASTAR,Water Gun,1,Powder Snow,1,Submission,1,Bite,7,Water Pulse,10,Rock Slide,16,Crunch,19,Wring Out,25,Mud Bomb,28,Seismic Toss,34,Muddy Water,37,AncientPower,60,Earth Power,68,Ice Beam,76,Hydro Pump,87,,,,,,,,,,,,
140,KABUTO,Scratch,1,Leech Life,1,Rock Throw,6,BubbleBeam,11,Slash,16,Aerial Ace,21,Rock Slide,26,Muddy Water,31,Submission,36,X-Scissor,41,Stone Edge,46,Clamp,51,,,,,,,,,,,,,,,,,,
141,KABUTOPS,Feint,1,Poison Jab,1,Bite,1,Bug Bite,1,Metal Claw,1,Giga Drain,6,Aerial Ace,11,Slash,16,Ice Fang,21,Submission,26,Night Slash,31,Rock Slide,36,ViceGrip,40,X-Scissor,55,Superpower,64,Stone Edge,83,Clamp,92,,,,,,,,
142,AERODACTYL,Ice Fang,1,Fire Fang,1,Thunder Fang,1,Wing Attack,1,Supersonic,1,Bite,1,Scary Face,1,Roar,9,Agility,17,AncientPower,25,Crunch,33,Take Down,41,Iron Head,49,Roar,57,Rock Slide,65,Hyper Beam,73,,,,,,,,,,
143,SNORLAX,Yawn,1,Body Slam,4,Take Down,9,Lick,12,Submission,17,Whirlwind,20,Rest,25,Sleep Talk,28,Pursuit,28,Hyper Beam,33,Selfdestruct,36,Whirlwind,41,Crunch,44,Double-Edge,50,Earthquake,84,,,,,,,,,,,,
144,ARTICUNO,Pluck,1,Water Ball,1,Whirlwind,8,Hyper Beam,15,Aurora Beam,22,Air Slash,29,Roar,36,AncientPower,43,Steel Wing,50,Ice Beam,57,Sky Attack,64,Whirlwind,71,Sleep Talk,78,Roost,85,,,,,,,,,,,,,,
145,ZAPDOS,Pluck,1,Water Ball,1,Air Slash,8,Whirlwind,15,Shock Wave,22,Drill Peck,29,AncientPower,36,Roar,43,Hyper Beam,50,Discharge,57,Whirlwind,64,Sky Attack,71,Sleep Talk,78,Roost,85,,,,,,,,,,,,,,
146,MOLTRES,Pluck,1,Heat Wave,1,Fire Spin,8,Hyper Beam,15,Water Ball,22,AncientPower,29,Air Slash,36,Roar,43,SolarBeam,50,Overheat,57,Whirlwind,64,Sky Attack,71,Sleep Talk,78,Roost,85,,,,,,,,,,,,,,
147,DRATINI,Wrap,1,Twister,1,Thunder Wave,5,Slam,11,Dragon Rush,35,Dragon Rage,40,Hydro Pump,45,Dragon Pulse,45,Hyper Beam,50,Whirlwind,50,Aqua Tail,55,Outrage,65,ExtremeSpeed,99,,,,,,,,,,,,,,,,
148,DRAGONAIR,Wrap,1,Swift,1,Water Pulse,12,Twister,15,Slam,18,Thunder Wave,29,Dragon Rush,36,Dragon Rage,41,Hydro Pump,45,Dragon Pulse,50,Hyper Beam,55,Whirlwind,55,Aqua Tail,63,Outrage,77,ExtremeSpeed,100,Hurricane,100,,,,,,,,,,
149,DRAGONITE,Fire Punch,1,ThunderPunch,1,Dragon Pulse,1,Wrap,1,Hydro Pump,1,Fire Spin,1,Dragon Rush,1,Thunder Wave,5,Twister,11,Dragon Rage,15,Slam,21,Steel Wing,25,Double-Edge,33,Aqua Tail,49,Dragon Claw,55,Air Slash,55,ExtremeSpeed,55,Hyper Beam,64,Outrage,100,,,,
150,MEWTWO,Confusion,1,Teleport,1,Signal Beam,8,Seismic Toss,15,Psybeam,22,Swift,29,Hyper Beam,36,Future Sight,43,Teleport,50,Brick Break,57,Recover,64,Psycho Cut,64,Sleep Talk,71,Teleport,79,Selfdestruct,86,Psychic,93,Aura Sphere,100,,,,,,,,
151,MEW,Fake Out,1,Hypnosis,10,Metronome,15,Transform,20,Psychic,25,Zen Headbutt,30,Softboiled,40,AncientPower,50,Me First,60,Explosion,70,Selfdestruct,80,Teleport,90,Copycat,95,Aura Sphere,100,,,,,,,,,,,,,,
152,CHIKORITA,Tackle,1,Vine Whip,1,Sweet Scent,6,Headbutt,9,Razor Leaf,12,Secret Power,17,Magical Leaf,20,Body Slam,23,Aromatherapy,28,Leaf Blade,31,AncientPower,34,Power Whip,39,Synthesis,42,Leaf Storm,45,,,,,,,,,,,,,,
153,BAYLEEF,Tackle,1,Vine Whip,1,Sweet Scent,1,Headbutt,1,Razor Leaf,6,Hidden Power,9,Secret Power,12,Magical Leaf,18,Aromatherapy,22,Leaf Blade,26,Body Slam,32,Energy Ball,36,AncientPower,40,Leaf Storm,46,Synthesis,50,Frenzy Plant,54,,,,,,,,,,
154,MEGANIUM,SolarBeam,1,Petal Dance,1,Swift,1,Nature Power,1,Secret Power,1,Razor Leaf,6,Sweet Scent,9,Hidden Power,12,Body Slam,18,Magical Leaf,22,Aromatherapy,26,Petal Dance,32,Return,34,AncientPower,40,Energy Ball,46,Earthquake,54,Synthesis,60,Leaf Storm,66,,,,,,
155,CYNDAQUIL,Tackle,1,Ember,1,Double Kick,4,Roar,10,Swift,13,Flame Wheel,19,Gyro Ball,22,Extrasensory,28,Hidden Power,31,Lava Plume,37,Nature Power,40,Double-Edge,46,Flare Blitz,49,,,,,,,,,,,,,,,,
156,QUILAVA,Flare Blitz,1,ThunderPunch,1,Double Kick,1,Heat Wave,4,Gyro Ball,10,Swift,13,Flame Wheel,20,Hidden Power,24,Hidden Power,31,Extrasensory,35,Lava Plume,42,Nature Power,46,Thrash,53,Eruption,63,,,,,,,,,,,,,,
157,TYPHLOSION,Brick Break,1,Double Kick,1,Mystical Fire,1,Crush Claw,1,Heat Wave,1,Gyro Ball,4,Flare Blitz,10,Nature Power,13,Flame Wheel,20,ThunderPunch,36,Hidden Power,36,Extrasensory,39,Lava Plume,42,Earthquake,46,Roar,53,Explosion,97,,,,,,,,,,
158,TOTODILE,Scratch,1,Water Gun,1,Bite,6,Hidden Power,8,Nature Power,13,BubbleBeam,15,Slash,20,Crunch,22,Dive,27,Iron Tail,29,Ice Fang,34,Thrash,36,Aqua Tail,41,Superpower,43,Hydro Pump,48,,,,,,,,,,,,
159,CROCONAW,Dragon Claw,1,Brick Break,1,Water Gun,1,Hyper Fang,6,Hidden Power,8,BubbleBeam,13,Nature Power,15,Bite,21,Headbutt,24,Hyper Fang,30,Crunch,33,Ice Fang,39,ViceGrip,42,Aqua Tail,48,Superpower,51,Super Fang,57,,,,,,,,,,
160,FERALIGATR,Fire Fang,1,Dragon Claw,1,Iron Tail,1,Cross Chop,1,Slash,6,Thunder Fang,8,Bite,13,Metal Claw,15,Roar,21,Hyper Fang,24,Body Slam,30,Crunch,32,Ice Fang,42,ViceGrip,47,Roar,50,Earthquake,58,Ice Punch,63,Aqua Tail,71,,,,,,
161,SENTRET,Quick Attack,1,Secret Power,1,Follow Me,4,Knock Off,7,Helping Hand,13,Fury Swipes,16,Slam,19,Sucker Punch,25,Thunder Wave,28,Me First,31,Hyper Voice,36,Super Fang,39,Double-Edge,42,Quick Attack,47,,,,,,,,,,,,,,
162,FURRET,Quick Attack,1,Dig,1,Night Slash,1,Quick Attack,1,Follow Me,4,Quick Attack,7,Fury Swipes,13,Helping Hand,17,Knock Off,21,Body Slam,28,Thunder Wave,32,Hyper Voice,36,Super Fang,42,Sucker Punch,46,Slam,50,Quick Attack,56,,,,,,,,,,
163,HOOTHOOT,Tackle,1,Peck,1,Foresight,1,Uproar,5,Steel Wing,9,Zen Headbutt,13,Aerial Ace,17,Whirlwind,21,Extrasensory,25,Take Down,27,Hypnosis,33,Roost,37,Air Slash,41,Hyper Voice,45,Psycho Shift,49,,,,,,,,,,,,
164,NOCTOWL,Pluck,1,Hypnosis,1,Swift,1,Foresight,1,Night Shade,1,Steel Wing,5,Zen Headbutt,9,Uproar,13,Aerial Ace,17,Extrasensory,22,Take Down,29,Foresight,32,Whirlwind,37,Roost,42,Air Slash,47,Hyper Voice,52,Psycho Shift,57,Sky Attack,65,,,,,,
165,LEDYBA,Bug Bite,1,Sweet Scent,6,Pound,9,Light Screen,14,Aerial Ace,14,Reflect,14,Mach Punch,17,Safeguard,22,Silver Wind,25,Double-Edge,30,Air Slash,33,Knock Off,38,Bug Buzz,41,,,,,,,,,,,,,,,,
166,LEDIAN,Signal Beam,1,Supersonic,1,Weather Ball,1,Sweet Scent,6,Swift,9,Light Screen,14,Reflect,14,Bug Bite,14,Mach Punch,17,Safeguard,24,Silver Wind,29,Air Slash,36,Psybeam,41,Drain Punch,48,Bug Buzz,53,,,,,,,,,,,,
167,SPINARAK,Poison Sting,1,String Shot,1,Leech Life,5,Bite,8,Night Shade,12,Poison Jab,15,Shadow Sneak,19,Bug Bite,22,Spider Web,26,Cross Poison,29,Sucker Punch,33,X-Scissor,36,Poison Fang,40,Megahorn,43,,,,,,,,,,,,,,
168,ARIADOS,Leech Life,1,Poison Sting,1,String Shot,1,Night Shade,1,Bug Bite,1,Night Slash,5,Poison Jab,8,Scary Face,12,Pursuit,15,X-Scissor,19,Shadow Sneak,23,Cross Poison,28,Pin Missile,32,Spider Web,37,Sucker Punch,41,Poison Fang,46,Megahorn,50,,,,,,,,
169,CROBAT,Cross Poison,1,Giga Drain,1,Leech Life,1,Supersonic,1,Heat Wave,1,Wing Attack,5,Leech Life,9,Poison Jab,13,Bite,17,Steel Wing,21,Aerial Ace,27,Whirlwind,33,Confuse Ray,39,Crunch,45,Brave Bird,80,Poison Fang,85,Whirlwind,90,,,,,,,,
170,CHINCHOU,Bubble,1,ThunderShock,1,Supersonic,6,Thunder Wave,9,Water Gun,12,Shock Wave,17,Confuse Ray,20,Aurora Beam,23,BubbleBeam,28,Wild Charge,31,Flash,34,Signal Beam,39,Hydro Pump,42,Discharge,45,,,,,,,,,,,,,,
171,LANTURN,Psybeam,1,Flash Cannon,1,Supersonic,1,Flail,6,Water Pulse,9,ThunderShock,12,Supersonic,17,Thunder Wave,20,Water Pulse,23,Confuse Ray,27,Flash,27,Attract,27,Brine,30,Shock Wave,35,Flash,40,Signal Beam,47,Hydro Pump,52,Discharge,57,,,,,,
172,PICHU,ThunderShock,1,Sweet Kiss,1,Thunder Wave,5,Surf,55,Volt Tackle,65,ExtremeSpeed,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,CLEFFA,Pound,1,Metronome,1,Present,7,Sweet Kiss,45,Copycat,53,Sing,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,IGGLYBUFF,Present,1,Sing,1,Water Pulse,5,Gyro Ball,9,Sweet Kiss,13,Copycat,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,TOGEPI,Teleport,1,Present,1,Metronome,6,Sweet Kiss,10,Peck,15,Teleport,19,Double-Edge,24,Magical Leaf,28,Shadow Ball,33,Teleport,37,AncientPower,42,Tri Attack,46,Yawn,51,,,,,,,,,,,,,,,,
176,TOGETIC,Teleport,1,Present,1,Metronome,1,Sweet Kiss,1,Facade,1,Teleport,6,Double-Edge,10,Magical Leaf,15,Shadow Ball,19,Teleport,24,Seismic Toss,28,Steel Wing,33,Whirlwind,37,Tri Attack,42,Aura Sphere,46,Air Slash,51,,,,,,,,,,
177,NATU,Peck,1,Night Shade,1,Confusion,6,Aerial Ace,12,Zen Headbutt,17,Me First,20,Confuse Ray,23,Ominous Wind,28,Drill Peck,33,Psychic,36,Teleport,39,Night Shade,44,Brave Bird,64,Psycho Boost,87,,,,,,,,,,,,,,
178,XATU,Drill Peck,1,Steel Wing,1,Night Shade,6,Teleport,9,Aerial Ace,12,Psybeam,17,Me First,23,Confuse Ray,27,Ominous Wind,30,Zen Headbutt,37,Air Slash,42,Teleport,47,Psychic,54,Night Shade,54,Brave Bird,59,,,,,,,,,,,,
179,MAREEP,ThunderShock,1,Tackle,5,Thunder Wave,10,Swift,14,Hidden Power,19,Body Slam,23,Iron Tail,28,Discharge,32,Signal Beam,37,Power Gem,41,Thunderbolt,46,,,,,,,,,,,,,,,,,,,,
180,FLAAFFY,Flash,1,Tackle,1,ThunderShock,1,Swift,5,Thunder Wave,10,Shock Wave,14,Body Slam,20,Iron Tail,25,Fire Punch,33,Discharge,36,Power Gem,42,Signal Beam,47,Thunderbolt,53,,,,,,,,,,,,,,,,
181,AMPHAROS,Cross Chop,1,Fire Punch,1,Flash Cannon,1,ThunderPunch,1,Thunder Wave,1,Headbutt,5,Iron Tail,10,Shock Wave,14,Body Slam,20,Flash,25,Power Gem,30,Discharge,34,Signal Beam,42,Mirror Shot,51,Dragon Pulse,59,Thunderbolt,68,,,,,,,,,,
182,BELLOSSOM,Leaf Blade,1,Mega Drain,1,Sweet Scent,1,Stun Spore,1,Sleep Powder,1,Magical Leaf,23,Petal Dance,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,MARILL,Present,1,Water Gun,12,Pound,17,BubbleBeam,20,Brick Break,25,Body Slam,28,Dive,33,Double-Edge,37,Ice Punch,42,Bounce,47,Aqua Tail,52,,,,,,,,,,,,,,,,,,,,
184,AZUMARILL,Present,1,Seismic Toss,1,Aurora Beam,1,Foresight,1,Brick Break,12,BubbleBeam,17,Body Slam,20,Iron Tail,25,Body Slam,30,Hydro Pump,37,Take Down,43,Dive,50,Ice Punch,57,Aqua Tail,80,,,,,,,,,,,,,,
185,SUDOWOODO,Fire Punch,1,Copycat,1,ThunderPunch,1,Ice Punch,1,Block,1,Mimic,6,Low Kick,9,Faint Attack,14,Rock Slide,17,Selfdestruct,22,Brick Break,25,Take Down,30,Rock Slide,33,Explosion,38,Earthquake,41,Hammer Arm,46,Wood Hammer,49,,,,,,,,
186,POLITOED,Bounce,1,Hypnosis,1,BubbleBeam,1,Hyper Voice,1,Ice Beam,27,Earth Power,37,Hydro Pump,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,HOPPIP,Absorb,1,Tackle,4,Gust,7,Confusion,10,Mega Drain,12,Headbutt,14,Whirlwind,16,PoisonPowder,18,Bullet Seed,22,Aerial Ace,25,Secret Power,28,Seed Bomb,31,Memento,34,Double-Edge,37,Energy Ball,40,Bounce,43,,,,,,,,,,
188,SKIPLOOM,Double-Edge,1,Pay Day,1,Absorb,1,Headbutt,1,Gust,4,Memento,7,Secret Power,10,Bullet Seed,12,Confusion,14,PoisonPowder,16,Take Down,20,Whirlwind,24,Seed Bomb,28,Aerial Ace,32,Stun Spore,36,Memento,40,Energy Ball,44,Bounce,48,Synthesis,64,,,,
189,JUMPLUFF,Helping Hand,1,Secret Power,1,Confusion,1,Pay Day,1,Synthesis,4,Double-Edge,7,Cotton Spore,10,Memento,12,Bullet Seed,14,Headbutt,16,PoisonPowder,20,Silver Wind,24,Seed Bomb,28,Aerial Ace,32,Stun Spore,40,Memento,48,Energy Ball,54,Bounce,60,Sleep Powder,72,,,,
190,AIPOM,Astonish,1,Scratch,1,Sand-Attack,4,Swift,8,Water Gun,11,Slash,15,Faint Attack,18,Metal Claw,22,Karate Chop,25,Headbutt,29,Bite,32,Aerial Ace,36,Force Palm,49,Double Hit,63,Fake Out,77,,,,,,,,,,,,
191,SUNKERN,Absorb,1,Growth,1,Headbutt,5,Ingrain,9,Mega Drain,13,Bullet Seed,17,Endeavor,17,Worry Seed,21,Seed Bomb,25,Synthesis,29,Endeavor,37,GrassWhistle,41,Giga Drain,45,,,,,,,,,,,,,,,,
192,SUNFLORA,Absorb,1,Nature Power,1,Growth,1,Mega Drain,5,Synthesis,9,GrassWhistle,13,Endeavor,21,Giga Drain,25,Sludge Bomb,29,Petal Dance,33,GrassWhistle,35,Morning Sun,37,Petal Dance,41,Earth Power,43,,,,,,,,,,,,,,
193,YANMA,Quick Attack,1,Pursuit,1,Whirlwind,6,Leech Life,11,SonicBoom,14,Uproar,17,Supersonic,22,Whirlwind,27,Bug Bite,30,Wing Attack,33,Swift,38,Steel Wing,43,Whirlwind,46,AncientPower,49,Air Slash,54,Bug Buzz,57,,,,,,,,,,
194,WOOPER,Water Gun,1,Acid,1,Mud Shot,5,Double Kick,9,Water Pulse,15,Headbutt,19,Mud Bomb,23,Muddy Water,29,Sludge Bomb,33,Rock Slide,37,Earthquake,43,Aqua Tail,43,Yawn,57,,,,,,,,,,,,,,,,
195,QUAGSIRE,Water Gun,1,Acid,1,Sludge Bomb,1,Dig,5,Mud Shot,9,Water Pulse,15,Body Slam,19,Mud Bomb,24,Muddy Water,31,Poison Jab,40,Ice Punch,45,Earthquake,53,Aqua Tail,60,Yawn,69,,,,,,,,,,,,,,
196,ESPEON,Mud-Slap,1,Tackle,1,Teleport,1,Bite,8,Confusion,15,Quick Attack,22,Swift,29,Psybeam,36,Future Sight,43,Signal Beam,50,Teleport,57,Psychic,64,Morning Sun,71,Power Swap,78,,,,,,,,,,,,,,
197,UMBREON,Payback,1,Tackle,1,Faint Attack,1,Secret Power,8,Bite,15,Confuse Ray,22,Body Slam,29,Crunch,36,Assurance,43,Sand-Attack,50,Pursuit,57,Double Kick,64,Moonlight,71,Guard Swap,78,,,,,,,,,,,,,,
198,MURKROW,Air Slash,1,Pursuit,1,Whirlwind,5,Assurance,31,Drill Peck,35,Night Shade,45,Dark Pulse,50,Whirlwind,51,Brave Bird,55,Heat Wave,61,Night Slash,65,,,,,,,,,,,,,,,,,,,,
